,index,tweet,tweet_text,clean_tweet
877,1022,"RT @DrRobDavidson: The CDC is now advising against large public gatherings in areas with coronavirus patients. But under @VP Pence’s watch,…",The CDC is now advising against large public gatherings in areas with coronavirus patients. But under @VP Pence’s watch,The CDC be now advise against large public gathering in area with coronavirus patient But under VP Pence watch
878,357,RT @girlsreallyrule: The CDC has contracted with a company for coronavirus test kits that Trump previously owned stock and he has shown NO…,The CDC has contracted with a company for coronavirus test kits that Trump previously owned stock and he has shown NO,The CDC have contract with company for coronavirus test kit that Trump previously own stock and he have show NO
879,811,The CDC hopes to have every state and local health department testing for the coronavirus by the end of next week. https://t.co/LQGMS7JvuJ,The CDC hopes to have every state and local health department testing for the coronavirus by the end of next week. ,The CDC hope to have every state and local health department test for the coronavirus by the end of next week
880,179,"RT @RyanAFournier: The CDC just issued a warning of a major Coronavirus outbreak in the United States.

China lied about the veracity of th…","The CDC just issued a warning of a major Coronavirus outbreak in the United States.

China lied about the veracity of th",The CDC just issue warn of major Coronavirus outbreak in the United States China lie about the veracity of th
881,1021,RT @TheAtlantic: The CDC recommends “social distancing” to mitigate the coronavirus. But what does that mean for everyday life? Can you go…,The CDC recommends “social distancing” to mitigate the coronavirus. But what does that mean for everyday life? Can you go,The CDC recommends social distance to mitigate the coronavirus But what do that mean for everyday life Can you go
882,1183,"RT @Reuters: The Chinese city of Wuhan is rapidly building a new 1,000-bed hospital to treat victims of a new coronavirus, mobilizing machi…","The Chinese city of Wuhan is rapidly building a new 1,000-bed hospital to treat victims of a new coronavirus, mobilizing machi",The Chinese city of Wuhan be rapidly building new hospital to treat victim of new coronavirus mobilize machi
883,147,RT @Fxhedgers: The City of Costa Mesa is trying to block as many as 70 confirmed coronavirus patients from being transferred to the city...…,The City of Costa Mesa is trying to block as many as 70 confirmed coronavirus patients from being transferred to the city,The City of Costa Mesa be try to block a many a 70 confirm coronavirus patient from be transfer to the city
884,659,RT @680NEWS: The Coachella and Stagecoach music festivals in Southern California have been postponed amid coronavirus concerns. https://t.c…,The Coachella and Stagecoach music festivals in Southern California have been postponed amid coronavirus concerns. ,The Coachella and Stagecoach music festival in Southern California have be postpone amid coronavirus concern
885,628,RT @CityNews: The Coachella and Stagecoach music festivals in Southern California have been postponed amid coronavirus concerns. https://t.…,The Coachella and Stagecoach music festivals in Southern California have been postponed amid coronavirus concerns. ,The Coachella and Stagecoach music festival in Southern California have be postpone amid coronavirus concern
886,770,RT @PhilEhr: The #Coronavirus situation is not a time for PR stunts. It’s a time when our elected officials should exhibit leadership. Join…,The #Coronavirus situation is not a time for PR stunts. It’s a time when our elected officials should exhibit leadership. Join,The Coronavirus situation be not time for PR stunt It time when our elect official should exhibit leadership Join
